"date","total_sentences","uncertain_sentences","proportion_uncertain"
2023-06-01,183,89,0.486338797814208
2023-03-02,192,91,0.473958333333333
2015-04-02,124,64,0.516129032258065
2015-07-02,112,46,0.410714285714286
2022-03-03,153,79,0.516339869281046
2019-04-04,98,37,0.377551020408163
2024-04-04,198,80,0.404040404040404
2017-10-05,109,42,0.385321100917431
2017-04-06,137,63,0.45985401459854
2017-07-06,131,58,0.442748091603053
2016-10-06,117,44,0.376068376068376
2022-10-06,155,76,0.490322580645161
2016-04-07,173,72,0.416184971098266
2022-04-07,200,113,0.565
2016-07-07,114,38,0.333333333333333
2022-07-07,155,88,0.567741935483871
2021-10-07,118,43,0.364406779661017
2021-04-08,128,56,0.4375
2015-10-08,122,55,0.450819672131148
2020-10-08,156,70,0.448717948717949
2020-04-09,143,60,0.41958041958042
2021-07-09,139,58,0.41726618705036
2019-01-10,116,32,0.275862068965517
2024-05-10,163,68,0.417177914110429
2019-10-10,129,60,0.465116279069767
2018-01-11,124,48,0.387096774193548
2019-07-11,80,30,0.375
2018-10-11,104,27,0.259615384615385
2017-01-12,115,41,0.356521739130435
2018-04-12,97,36,0.371134020618557
2018-07-12,101,24,0.237623762376238
2023-10-12,208,117,0.5625
2023-07-13,208,118,0.567307692307692
2015-08-13,103,34,0.330097087378641
2016-01-14,156,67,0.429487179487179
2021-01-14,127,42,0.330708661417323
2021-05-14,93,33,0.354838709677419
2020-01-16,120,36,0.3
2017-02-16,99,37,0.373737373737374
2017-08-17,106,33,0.311320754716981
2016-11-17,86,35,0.406976744186047
2024-01-18,184,102,0.554347826086957
2016-02-18,146,68,0.465753424657534
2021-02-18,115,45,0.391304347826087
2017-05-18,90,35,0.388888888888889
2016-08-18,88,31,0.352272727272727
2023-01-19,155,66,0.425806451612903
2015-02-19,141,59,0.418439716312057
2016-05-19,123,38,0.308943089430894
2022-05-19,162,84,0.518518518518518
2015-11-19,114,64,0.56140350877193
2022-01-20,170,78,0.458823529411765
2020-02-20,120,36,0.3
2023-04-20,149,82,0.550335570469799
2020-08-20,98,47,0.479591836734694
2019-02-21,99,42,0.424242424242424
2015-05-21,89,37,0.415730337078652
2019-11-21,82,26,0.317073170731707
2018-02-22,105,34,0.323809523809524
2024-02-22,207,103,0.497584541062802
2020-05-22,103,52,0.504854368932039
2019-08-22,92,40,0.434782608695652
2018-11-22,112,31,0.276785714285714
2019-05-23,89,25,0.280898876404494
2018-08-23,62,17,0.274193548387097
2017-11-23,153,41,0.26797385620915
2023-11-23,201,111,0.552238805970149
2018-05-24,98,36,0.36734693877551
2022-11-24,157,81,0.515923566878981
2020-06-25,169,73,0.431952662721893
2022-08-25,189,91,0.481481481481481
2021-11-25,149,72,0.483221476510067
2021-08-26,182,82,0.450549450549451
2020-11-26,113,48,0.424778761061947
2023-08-31,206,120,0.58252427184466
